"","season","round_number","team","elo"
"303",2000,19,"Carlton",1720.80334720162
"304",2000,19,"Western Bulldogs",1485.27809419965
"305",2000,20,"Adelaide",1513.70960734875
"306",2000,20,"Brisbane Lions",1589.33924123993
"307",2000,20,"Carlton",1694.20296022354
"308",2000,20,"Essendon",1782.24533104598
"309",2000,20,"Melbourne",1559.52552093242
"310",2000,20,"Fremantle",1400.99639831606
"311",2000,20,"West Coast",1406.48572669502
"312",2000,20,"Geelong",1431.895398393
"313",2000,20,"Sydney",1480.03160797107
"314",2000,20,"North Melbourne",1598.33198474624
"315",2000,20,"Hawthorn",1506.23419780976
"316",2000,20,"Port Adelaide",1446.84135347707
"317",2000,20,"Richmond",1483.34050863401
"318",2000,20,"St Kilda",1318.18303453863
"319",2000,20,"Collingwood",1341.47725670322
"320",2000,20,"Western Bulldogs",1511.87848117773
"321",2000,21,"Hawthorn",1518.72417312133
"322",2000,21,"Adelaide",1493.15165188882
"323",2000,21,"Port Adelaide",1434.3513781655
"324",2000,21,"Carlton",1681.26088021979
"325",2000,21,"North Melbourne",1550.2530531604
"326",2000,21,"Collingwood",1350.80919041824
"327",2000,21,"Melbourne",1581.20192758865
"328",2000,21,"Geelong",1454.38116449499
"329",2000,21,"Brisbane Lions",1609.89719669986
"330",2000,21,"St Kilda",1305.42011027464
"331",2000,21,"Richmond",1496.103432898
"332",2000,21,"Sydney",1528.11053955691
"333",2000,21,"Fremantle",1379.31999165983
"334",2000,21,"West Coast",1383.99996059303
"335",2000,21,"Essendon",1795.18741104972
"336",2000,21,"Western Bulldogs",1502.54654746272
"337",2000,22,"Essendon",1756.97579990403
"338",2000,22,"Collingwood",1388.41811762037
"339",2000,22,"Brisbane Lions",1620.83468830886
"340",2000,22,"Fremantle",1380.85855212897
"341",2000,22,"Western Bulldogs",1540.75815860841
"342",2000,22,"Hawthorn",1541.77843149386
"343",2000,22,"West Coast",1382.46140012389
"344",2000,22,"Melbourne",1584.09278139646
"345",2000,22,"Adelaide",1470.09739351629
"346",2000,22,"Port Adelaide",1463.76918662897
"347",2000,22,"Carlton",1651.84307175632
"348",2000,22,"Richmond",1498.7782062829
"349",2000,22,"North Melbourne",1512.64412595827
"350",2000,22,"St Kilda",1294.48261866564
"351",2000,22,"Geelong",1451.49031068718
"352",2000,22,"Sydney",1525.43576617201
"353",2000,23,"Geelong",1463.8640592399
"354",2000,23,"Hawthorn",1555.9952645087
"355",2000,23,"Carlton",1673.25224414318
"356",2000,23,"Melbourne",1600.83125141778
"357",2000,23,"Essendon",1743.22630748465
"358",2000,23,"North Melbourne",1522.03291515919
"359",2000,23,"Brisbane Lions",1636.51919544246
"360",2000,23,"Western Bulldogs",1526.54132559357
"361",2000,24,"Carlton",1656.18202423889
"362",2000,24,"Brisbane Lions",1651.906909485
"363",2000,24,"North Melbourne",1504.69150841943
"364",2000,24,"Hawthorn",1554.48122681327
"365",2000,25,"Essendon",1760.56771422441
"366",2000,25,"Carlton",1694.38565835295
"367",2000,25,"Melbourne",1617.90147132206
"368",2000,25,"North Melbourne",1520.1815872457
"369",2000,26,"Essendon",1785.4111067785
"370",2000,26,"Melbourne",1640.86996729705
"371",2001,1,"Sydney",1513.06201761929
"372",2001,1,"Adelaide",1436.33417412574
"373",2001,1,"Port Adelaide",1497.65578571855
"374",2001,1,"Brisbane Lions",1608.0181116024
"375",2001,1,"Fremantle",1378.31957560832
"376",2001,1,"Carlton",1653.01189488347
"377",2001,1,"Hawthorn",1533.43003550536
"378",2001,1,"Collingwood",1416.12095465783
"379",2001,1,"North Melbourne",1497.73004542182
"380",2001,1,"Essendon",1749.13632750338
"381",2001,1,"Melbourne",1593.16865800848
"382",2001,1,"Richmond",1482.48858983155
"383",2001,1,"Western Bulldogs",1508.19892940235
"384",2001,1,"St Kilda",1342.02421679424
"385",2001,1,"Geelong",1475.8222338282
"386",2001,1,"West Coast",1406.22931408044
"387",2001,2,"Collingwood",1442.08178877266
"388",2001,2,"Fremantle",1429.18887088132
"389",2001,2,"St Kilda",1377.97589621202
"390",2001,2,"Geelong",1504.81632912968
"391",2001,2,"Carlton",1593.84263899854
"392",2001,2,"Hawthorn",1518.88172909986
"393",2001,2,"Adelaide",1440.6623549103
"394",2001,2,"Melbourne",1547.02469105106
"395",2001,2,"Brisbane Lions",1562.6880293428
"396",2001,2,"North Melbourne",1486.65890965365
"397",2001,2,"Essendon",1714.41529400875
"398",2001,2,"Port Adelaide",1511.10799438
"399",2001,2,"West Coast",1383.13264138353
"400",2001,2,"Sydney",1525.76604479232
"401",2001,2,"Richmond",1517.84194181578
"402",2001,2,"Western Bulldogs",1486.8504932304
"403",2001,3,"Richmond",1483.01109838845
"404",2001,3,"Brisbane Lions",1590.27787732338
"405",2001,3,"Western Bulldogs",1521.68133665773
"406",2001,3,"Collingwood",1456.64348911719
"407",2001,3,"Carlton",1562.47711160275
"408",2001,3,"Essendon",1722.95023037296
"409",2001,3,"Melbourne",1538.14238799229
"410",2001,3,"Geelong",1515.6291097336
"411",2001,3,"Fremantle",1414.6271705368
"412",2001,3,"Hawthorn",1550.24725649566
"413",2001,3,"Adelaide",1449.54465796907
"414",2001,3,"Port Adelaide",1502.57305801579
"415",2001,3,"North Melbourne",1459.06906167307
"416",2001,3,"Sydney",1524.54337082694
"417",2001,3,"St Kilda",1367.16311560809
"418",2001,3,"West Coast",1384.35531534891
"419",2001,4,"Carlton",1595.78705170788
"420",2001,4,"Adelaide",1418.58895986184
"421",2001,4,"Western Bulldogs",1476.40758944454
"422",2001,4,"Brisbane Lions",1558.28550380548
"423",2001,4,"Sydney",1555.65444962348
"424",2001,4,"Essendon",1689.64029026783
"425",2001,4,"Hawthorn",1556.14179142919
"426",2001,4,"Melbourne",1554.03875896033
"427",2001,4,"Geelong",1499.73273876557
"428",2001,4,"North Melbourne",1427.95798287653
"429",2001,4,"Collingwood",1501.91723633038
"430",2001,4,"Richmond",1515.00347190636
"431",2001,4,"Port Adelaide",1533.52875612303
"432",2001,4,"St Kilda",1352.26486660876
"433",2001,4,"Fremantle",1408.73263560326
"434",2001,4,"West Coast",1399.25356434823
"435",2001,5,"Essendon",1707.9711331926
"436",2001,5,"Collingwood",1489.08883688917
"437",2001,5,"Brisbane Lions",1514.30879817707
"438",2001,5,"Fremantle",1386.15960521227
"439",2001,5,"Western Bulldogs",1520.38429507294
"440",2001,5,"Hawthorn",1585.93540517053
